model,target_date,score,actual_sum,forecast_sum,abs_error_sum,signed_error_sum,bias_ratio,n_rows
ensemble_shape_0.60_level_medium,2022-09-27,0.4348788712321724,158.0,219.8398361226371,101.90853269312896,61.83983612263708,0.3913913678647917,24.0
ensemble_shape_0.60_level_medium,2022-09-28,0.6645964166892614,164.0,170.0619743635475,63.02174252163161,6.061974363547514,0.03696325831431411,24.0
ensemble_shape_0.60_level_medium,2022-09-29,0.6983103275090514,242.0,228.55,81.4782388330317,-13.45,-0.05557851239669421,24.0
ensemble_shape_0.60_level_off,2022-07-29,0.6826577093698658,159.0,182.60066587346375,57.11970904064949,23.60066587346376,0.14843186083939472,24.0
ensemble_shape_0.60_level_off,2022-07-30,0.38668298387055333,141.0,191.73767677251112,89.87760880344403,50.73767677251112,0.3598416792376675,24.0
ensemble_shape_0.60_level_off,2022-07-31,0.5148569453836549,115.0,131.7075029732385,57.81718499746887,16.707502973238476,0.1452826345498998,24.0
ensemble_shape_0.60_level_off,2022-08-01,0.6329054904360597,138.0,166.87471719423075,59.56494734729778,28.87471719423077,0.20923708111761427,24.0
ensemble_shape_0.60_level_off,2022-08-02,0.5826419041810169,112.0,175.56187597153976,82.46883944649196,63.56187597153975,0.5675167497458906,24.0
ensemble_shape_0.60_level_off,2022-08-03,0.3106703576700647,147.0,228.96144246406328,112.45867201386179,81.96144246406327,0.5575608330888657,24.0
ensemble_shape_0.60_level_off,2022-08-04,0.7497541987668928,172.0,168.3648741269326,50.87264980085479,-3.6351258730674116,-0.021134452750391927,24.0
ensemble_shape_0.60_level_off,2022-08-05,0.651003505924564,368.0,373.59672951907817,139.8720052273365,5.596729519078158,0.015208504127929777,48.0
ensemble_shape_0.60_level_off,2022-08-06,0.621501615474123,372.0,387.3249438067637,145.8321655643988,15.324943806763656,0.04119608550205284,48.0
ensemble_shape_0.60_level_off,2022-08-07,0.5865420208269722,362.0,249.7808395381229,159.0595928651398,-112.21916046187707,-0.30999768083391455,48.0
ensemble_shape_0.60_level_off,2022-08-08,0.7133129186954168,276.0,335.01262835051904,109.82922633017982,59.01262835051903,0.2138138708352139,48.0
ensemble_shape_0.60_level_off,2022-08-09,0.5691075346569674,520.0,332.8685597991263,226.38505112656384,-187.13144020087373,-0.3598681542324495,48.0
ensemble_shape_0.60_level_off,2022-08-10,0.5042765861860683,330.0,431.6871193199149,170.91770988769662,101.68711931991496,0.3081427858179241,48.0
ensemble_shape_0.60_level_off,2022-08-11,0.4656929256930384,292.0,364.31470022484564,157.78224911513638,72.31470022484564,0.24765308296180014,48.0
ensemble_shape_0.60_level_off,2022-08-12,0.6598763541782149,591.0,597.6616848318631,236.2023071148701,6.661684831863148,0.0112718863483302,72.0
ensemble_shape_0.60_level_off,2022-08-13,0.5117124750975206,552.0,607.859489293935,298.19754896800595,55.85948929393495,0.10119472698176621,72.0
ensemble_shape_0.60_level_off,2022-08-14,0.4661600495212365,477.0,414.2194808674369,277.9921059131143,-62.78051913256311,-0.1316153440934237,72.0
ensemble_shape_0.60_level_off,2022-08-15,0.5325612088729689,549.0,500.33757984269954,261.9943220191628,-48.662420157300474,-0.08863828808251452,72.0
ensemble_shape_0.60_level_off,2022-08-16,0.604305210035041,576.0,544.0250677441019,241.5265618890774,-31.974932255898054,-0.05551203516648968,72.0
ensemble_shape_0.60_level_off,2022-08-17,0.4538801024004319,510.0,626.6837632541937,286.4477013387281,116.68376325419362,0.2287916926552816,72.0
ensemble_shape_0.60_level_off,2022-08-18,0.7215036882435076,558.0,553.309407177393,173.83514131801218,-4.690592822606963,-0.00840608032725262,72.0
ensemble_shape_0.60_level_off,2022-08-19,0.7501058620867369,724.0,758.5819705238504,276.12776404800275,34.58197052385036,0.047765152657251876,96.0
ensemble_shape_0.60_level_off,2022-08-20,0.4537019710529707,668.0,846.409857433441,378.14570366335477,178.40985743344095,0.2670806249003607,96.0
ensemble_shape_0.60_level_off,2022-08-21,0.5970434486942761,848.0,592.3596125450727,363.01491706730883,-255.64038745492732,-0.30146272105533883,96.0
ensemble_shape_0.60_level_off,2022-08-22,0.5339495134594359,900.0,684.9387554465839,458.9385853370359,-215.06124455341617,-0.23895693839268464,96.0
ensemble_shape_0.60_level_off,2022-08-23,0.5940131990851716,716.0,739.2797761237548,332.76726339830486,23.279776123754935,0.032513653804127005,96.0
ensemble_shape_0.60_level_off,2022-08-24,0.4939346844555236,724.0,771.2781078543293,405.4307043142396,47.278107854329306,0.0653012539424438,96.0
ensemble_shape_0.60_level_off,2022-08-25,0.6545235808375288,756.0,730.5706318824101,300.1211275367749,-25.429368117589938,-0.0336367303142724,96.0
ensemble_shape_0.60_level_off,2022-08-26,0.7151314411525007,800.0,782.7231401201882,254.80658054334026,-17.276859879811862,-0.021596074849764828,96.0
ensemble_shape_0.60_level_off,2022-08-27,0.5137848106605304,760.0,708.3048266167658,420.4119184394717,-51.69517338323411,-0.06801996497793962,96.0
ensemble_shape_0.60_level_off,2022-08-28,0.6722405669472732,732.0,619.9290826598876,273.32035652720174,-112.07091734011239,-0.1531023460930497,96.0
ensemble_shape_0.60_level_off,2022-08-29,0.5198664624364413,816.0,641.8787332696304,431.66693963647896,-174.12126673036954,-0.2133839053068254,96.0
ensemble_shape_0.60_level_off,2022-08-30,0.6853292891790372,820.0,709.512048786414,274.07107096844567,-110.48795121358603,-0.13474140391900735,96.0
ensemble_shape_0.60_level_off,2022-08-31,0.5801565959478662,584.0,680.5609958322192,266.137327874221,96.56099583221916,0.16534417094558077,96.0
ensemble_shape_0.60_level_off,2022-09-01,0.668284776823058,828.0,750.9809858467918,299.8232924875093,-77.01901415320819,-0.09301813303527559,96.0
ensemble_shape_0.60_level_off,2022-09-02,0.6610901645279645,812.0,831.6546103204985,300.2022546431167,19.65461032049842,0.02420518512376653,96.0
ensemble_shape_0.60_level_off,2022-09-03,0.4779586141441519,576.0,784.3997084926012,331.4809263965185,208.39970849260138,0.36180504946632186,96.0
ensemble_shape_0.60_level_off,2022-09-04,0.6017104510339542,952.0,752.79945744405,394.62142869957245,-199.20054255595005,-0.20924426739070384,96.0
ensemble_shape_0.60_level_off,2022-09-05,0.5523534821280952,760.0,712.6922098911575,348.43297303355746,-47.30779010884246,-0.06224709224847692,96.0
ensemble_shape_0.60_level_off,2022-09-06,0.463468517540401,612.0,873.1381976789812,389.23028698671646,261.1381976789812,0.4266964014362438,96.0
ensemble_shape_0.60_level_off,2022-09-07,0.546868387800033,868.0,691.2661399042767,410.1538041706208,-176.73386009572334,-0.20361043789829877,96.0
ensemble_shape_0.60_level_off,2022-09-08,0.701604312695428,820.0,754.0790679107079,275.44858963825186,-65.92093208929225,-0.08039138059669787,96.0
ensemble_shape_0.60_level_off,2022-09-09,0.6072650778805149,591.0,622.306457125417,240.36178586377528,31.306457125417026,0.05297200867244844,72.0
ensemble_shape_0.60_level_off,2022-09-10,0.4875144796834031,441.0,567.9875634650211,233.98417105211794,126.98756346502118,0.28795365865084166,72.0
ensemble_shape_0.60_level_off,2022-09-11,0.5999333284859113,525.0,553.2398122417017,235.5599975149343,28.239812241701678,0.05379011855562224,72.0
ensemble_shape_0.60_level_off,2022-09-12,0.6483521778931043,501.0,604.7143633871698,204.7556598540345,103.71436338716978,0.2070146973795804,72.0
ensemble_shape_0.60_level_off,2022-09-13,0.6733718109585572,639.0,587.1235569594123,232.06241682898508,-51.8764430405876,-0.08118379192580219,72.0
ensemble_shape_0.60_level_off,2022-09-14,0.5594769070517103,501.0,536.5554226879972,232.49988479691024,35.55542268799719,0.07096890756087264,72.0
ensemble_shape_0.60_level_off,2022-09-15,0.5465496554212401,660.0,632.0917225631244,313.15999932599965,-27.908277436875522,-0.04228526884375079,72.0
ensemble_shape_0.60_level_off,2022-09-16,0.6017291781558383,434.0,422.54719383270566,175.61778764580512,-11.452806167294334,-0.026388954302521507,48.0
ensemble_shape_0.60_level_off,2022-09-17,0.5810681591379235,326.0,383.7614714478061,141.59720724728075,57.76147144780617,0.17718242775400667,48.0
ensemble_shape_0.60_level_off,2022-09-18,0.7280741542119756,440.0,423.8433452703911,136.6058334318571,-16.156654729608853,-0.03671966984002012,48.0
ensemble_shape_0.60_level_off,2022-09-19,0.6203789312887188,430.0,454.4742814788465,176.5644089484647,24.47428147884647,0.05691693367173598,48.0
ensemble_shape_0.60_level_off,2022-09-20,0.618359345182485,386.0,384.9916006748132,162.5573450852957,-1.0083993251868275,-0.0026124334849399675,48.0
ensemble_shape_0.60_level_off,2022-09-21,0.4537266506857835,354.0,364.28598121997845,200.51210759823527,10.285981219978499,0.029056444124233048,48.0
ensemble_shape_0.60_level_off,2022-09-22,0.6086931013578726,542.0,431.098732277966,263.51399145303634,-110.90126772203399,-0.20461488509600367,48.0
ensemble_shape_0.60_level_off,2022-09-23,0.7094664878053383,196.0,216.03992080697097,82.91022720629282,20.039920806970954,0.10224449391311712,24.0
ensemble_shape_0.60_level_off,2022-09-24,0.5607641617894107,237.0,194.3952807917005,132.78017100704017,-42.60471920829953,-0.179766747714344,24.0
ensemble_shape_0.60_level_off,2022-09-25,0.6130489061936023,267.0,191.04201750610963,124.88808258397911,-75.95798249389037,-0.2844868258198141,24.0
ensemble_shape_0.60_level_off,2022-09-26,0.7658176285901166,217.0,203.23046670222385,75.54732629305158,-13.769533297776134,-0.06345407049666421,24.0
ensemble_shape_0.60_level_off,2022-09-27,0.5023359701230767,158.0,199.7386235936579,90.04025209605979,41.738623593657934,0.2641685037573287,24.0
ensemble_shape_0.60_level_off,2022-09-28,0.6790236687027073,164.0,153.85941103627823,59.91052654121946,-10.140588963721775,-0.06183285953488887,24.0
ensemble_shape_0.60_level_off,2022-09-29,0.7272397696592763,242.0,212.7292203144297,73.21003562391977,-29.270779685570307,-0.1209536350643401,24.0
ensemble_shape_0.60_level_strong,2022-07-29,0.6826577093698658,159.0,182.60066587346375,57.11970904064949,23.60066587346376,0.14843186083939472,24.0
ensemble_shape_0.60_level_strong,2022-07-30,0.38668298387055333,141.0,191.73767677251112,89.87760880344403,50.73767677251112,0.3598416792376675,24.0
