origin,split,model,horizon,score,n_rows,actual_sum
2022-04-21,selection,ensemble_selected,28,0.48992084178158474,24.0,59.0
2022-04-21,selection,etr,1,0.4085399210895773,24.0,55.0
2022-04-21,selection,etr,2,0.7296546589481372,24.0,23.0
2022-04-21,selection,etr,3,0.5976042547196391,24.0,39.0
2022-04-21,selection,etr,4,0.5194911914159074,24.0,44.0
2022-04-21,selection,etr,5,0.5233741080856464,24.0,39.0
2022-04-21,selection,etr,6,0.46366107576633914,24.0,57.0
2022-04-21,selection,etr,7,0.5237767721607963,24.0,44.0
2022-04-21,selection,etr,8,0.25072407761991095,24.0,30.0
2022-04-21,selection,etr,9,0.43193211045641616,24.0,36.0
2022-04-21,selection,etr,10,0.4065003249911786,24.0,41.0
2022-04-21,selection,etr,11,0.5264860628317259,24.0,28.0
2022-04-21,selection,etr,12,0.46749860556110556,24.0,30.0
2022-04-21,selection,etr,13,-0.1960259570676238,24.0,21.0
2022-04-21,selection,etr,14,0.3475963247545281,24.0,32.0
2022-04-21,selection,etr,15,0.356872378156032,24.0,65.0
2022-04-21,selection,etr,16,0.5656207531858575,24.0,48.0
2022-04-21,selection,etr,17,0.4685762044643268,24.0,66.0
2022-04-21,selection,etr,18,0.3802957948687114,24.0,30.0
2022-04-21,selection,etr,19,0.4843985912735912,24.0,37.0
2022-04-21,selection,etr,20,0.4608572017042412,24.0,38.0
2022-04-21,selection,etr,21,0.4260686912140401,24.0,43.0
2022-04-21,selection,etr,22,0.4917832955066996,24.0,47.0
2022-04-21,selection,etr,23,0.6129054819771731,24.0,34.0
2022-04-21,selection,etr,24,0.5613503434275494,24.0,37.0
2022-04-21,selection,etr,25,0.549344134873665,24.0,31.0
2022-04-21,selection,etr,26,0.5013799490027168,24.0,56.0
2022-04-21,selection,etr,27,0.4841161647146123,24.0,63.0
2022-04-21,selection,etr,28,0.48992084178158474,24.0,59.0
2022-04-21,selection,item_topdown,1,0.37760027775724414,24.0,55.0
2022-04-21,selection,item_topdown,2,0.5749561500694085,24.0,23.0
2022-04-21,selection,item_topdown,3,0.45450957518560686,24.0,39.0
2022-04-21,selection,item_topdown,4,0.4840577901118299,24.0,44.0
2022-04-21,selection,item_topdown,5,0.37940417729549075,24.0,39.0
2022-04-21,selection,item_topdown,6,0.44778603186371124,24.0,57.0
2022-04-21,selection,item_topdown,7,0.5683310859950175,24.0,44.0
2022-04-21,selection,item_topdown,8,0.47193688614509166,24.0,30.0
2022-04-21,selection,item_topdown,9,0.4520705533452794,24.0,36.0
2022-04-21,selection,item_topdown,10,0.37359612255994307,24.0,41.0
