split,model,score,actual_sum,forecast_sum,abs_error_sum,signed_error_sum,bias_ratio,n_rows
holdout,ensemble_shape_0.45_level_light,0.6175209021882868,11000.0,11196.703760454031,4681.956927956347,196.70376045402924,0.017882160041275384,1344.0
holdout,ensemble_shape_0.45_level_medium,0.6158583043599232,11000.0,11276.999180976702,4703.781983179499,276.9991809767025,0.025181743725154776,1344.0
holdout,ensemble_shape_0.45_level_strong,0.6143106128822257,11000.0,11328.838574551917,4723.372847465233,328.8385745519166,0.029894415868356058,1344.0
holdout,item_prophet_shape_0.45_level_light,0.6140953887906869,11000.0,11179.800820048615,4714.7574321265,179.80082004861498,0.016345529095328635,1344.0
holdout,item_prophet_shape_0.45_level_off,0.6136186444907124,11000.0,10987.002738418196,4711.002689961205,-12.99726158180544,-0.0011815692347095855,1344.0
holdout,item_prophet_shape_0.45_level_medium,0.6124457367766549,11000.0,11280.245509646273,4737.669487319488,280.2455096462721,0.025476864513297465,1344.0
holdout,item_prophet_shape_0.45_level_strong,0.6113364672423294,11000.0,11343.866836961435,4753.461997069142,343.86683696143575,0.031260621541948704,1344.0
holdout,ensemble_shape_0.60_level_off,0.6071993181511359,11000.0,11211.05617582528,4791.766160035935,211.05617582528203,0.01918692507502564,1344.0
holdout,ensemble_bias_item,0.605131505337372,11000.0,12056.75606125087,4862.850262171988,1056.7560612508696,0.09606873284098814,1344.0
holdout,ensemble_shape_0.60_level_light,0.604845683058066,11000.0,11355.377601967366,4824.003090719384,355.37760196736554,0.03230705472430596,1344.0
holdout,ensemble_shape_0.60_level_medium,0.6031397387233286,11000.0,11430.249883931225,4846.117955121927,430.2498839312229,0.039113625811929356,1344.0
holdout,ensemble_shape_0.60_level_strong,0.6017947659131776,11000.0,11476.050369841589,4862.9696644845135,476.0503698415888,0.043277306349235344,1344.0
holdout,item_prophet_shape_0.60_level_light,0.6014194003698496,11000.0,11323.813968354007,4854.428115958686,323.81396835400517,0.029437633486727743,1344.0
holdout,item_prophet_shape_0.60_level_off,0.6012297371219627,11000.0,11133.961615898923,4847.624146297236,133.96161589892222,0.012178328718083838,1344.0
holdout,cate2_mix,0.6002202183695943,11000.0,10342.325,4850.877046183097,-657.6749999999997,-0.059788636363636335,1344.0
holdout,item_prophet_shape_0.60_level_medium,0.5998134471920759,11000.0,11422.639387095189,4876.923041610837,422.63938709518914,0.03842176246319901,1344.0
holdout,item_prophet_shape_0.60_level_strong,0.5987448538890437,11000.0,11480.651308096996,4891.456774757127,480.6513080969977,0.043695573463363425,1344.0
holdout,bottomup_mix,0.5576131818181819,11000.0,10342.325,5297.145,-657.675,-0.059788636363636356,1344.0
selection,ensemble_bias_item,0.6295795970967061,20644.0,20163.711263840447,8480.668837323814,-480.28873615955285,-0.023265294330534435,2688.0
selection,ensemble,0.6214701073969622,20644.0,18298.145948545876,8597.804986632955,-2345.854051454121,-0.11363369751279408,2688.0
selection,ensemble_residual_beta_0.3,0.61934185013541,20644.0,18558.19427466421,8654.205400134215,-2085.8057253357947,-0.10103689814647329,2688.0
selection,ensemble_residual_beta_0.5,0.6169208835106378,20644.0,18731.559825409757,8712.493615531861,-1912.4401745902444,-0.09263903190225946,2688.0
selection,item_prophet,0.616778634169861,20644.0,18740.007976031087,8705.647312992754,-1903.9920239689118,-0.09222980158733345,2688.0
selection,ensemble_bias_horizon,0.6140634591073856,20644.0,20644.0,8850.113581883219,-2.8421709430404007e-13,-1.3767539929472975e-17,2688.0
selection,ensemble_residual_beta_0.7,0.6137145938842327,20644.0,18904.925376155305,8786.99403897522,-1739.0746238446939,-0.08424116565804562,2688.0
selection,ensemble_bias_global,0.6131567670761446,20644.0,20644.0,8869.863167093223,2.1316282072803006e-12,1.0325654947104731e-16,2688.0
selection,ensemble_shape_0.30_level_off,0.6113566753838924,20644.0,19226.66173028997,8845.326359117651,-1417.3382697100328,-0.06865618434944937,2688.0
selection,ensemble_shape_0.30_level_light,0.6104124052921717,20644.0,19428.02119317814,8885.008652059698,-1215.9788068218595,-0.058902286709061204,2688.0
selection,ensemble_residual_beta_0.9,0.6099017898915293,20644.0,19075.03104971558,8873.784839734952,-1568.9689502844174,-0.07600120859738507,2688.0
selection,ensemble_shape_0.30_level_medium,0.6096915302883334,20644.0,19552.41948792184,8912.64882439317,-1091.5805120781595,-0.05287640535158688,2688.0
selection,ensemble_shape_0.30_level_strong,0.6093250527923001,20644.0,19640.240783773337,8929.145715390376,-1003.7592162266626,-0.04862232204159381,2688.0
selection,hybrid_short_residual_beta_0.5,0.6087957768948118,20644.0,19106.75265117128,8907.446521857173,-1537.2473488287246,-0.07446460709304033,2688.0
selection,hybrid_short_residual_beta_0.7,0.6075808636096092,20644.0,19180.439785610914,8936.371330015807,-1463.56021438909,-0.07089518573866935,2688.0
selection,hybrid_short_residual_beta_0.9,0.6061543823806022,20644.0,19254.12692005054,8969.663746806342,-1389.8730799494556,-0.06732576438429837,2688.0
selection,item_prophet_shape_0.30_level_off,0.6044366446900313,20644.0,19332.702611737677,8988.2613397859,-1311.2973882623223,-0.0635195402180935,2688.0
selection,item_prophet_shape_0.30_level_light,0.6018987707731642,20644.0,19563.652492636018,9064.915948653965,-1080.347507363984,-0.05233227607847239,2688.0
selection,ensemble_shape_0.45_level_off,0.6001027846073905,20644.0,19700.720455354614,9097.057273207685,-943.279544645386,-0.045692673156625944,2688.0
selection,item_prophet_shape_0.30_level_medium,0.6000368790455637,20644.0,19699.105764670454,9118.381097341831,-944.8942353295456,-0.04577088913628878,2688.0
selection,ensemble_shape_0.45_level_light,0.5996561492623768,20644.0,19891.28137370418,9125.041847572618,-752.7186262958213,-0.03646185944079739,2688.0
selection,ensemble_shape_0.45_level_medium,0.5992124383629417,20644.0,20007.155100055163,9145.923294050543,-636.8448999448369,-0.03084891009227073,2688.0
selection,ensemble_shape_0.45_level_strong,0.5989720492476064,20644.0,20084.66795019566,9158.884694266959,-559.3320498043411,-0.02709417020947205,2688.0
selection,item_prophet_shape_0.30_level_strong,0.5988395106154606,20644.0,19795.26498798139,9153.7396856822,-848.7350120186134,-0.04111291474610605,2688.0
selection,item_prophet_shape_0.45_level_off,0.5929884533616885,20644.0,19734.278335970565,9240.5693383442,-909.7216640294328,-0.04406712187703123,2688.0
selection,item_prophet_shape_0.45_level_light,0.5909318762446334,20644.0,19957.48802985978,9306.345673677235,-686.5119701402207,-0.03325479413583708,2688.0
selection,item_prophet_shape_0.45_level_medium,0.5891985203568524,20644.0,20086.895570857374,9356.47651856995,-557.1044291426235,-0.02698626376393255,2688.0
selection,item_prophet_shape_0.45_level_strong,0.5881534905945484,20644.0,20176.684946734757,9388.073321428901,-467.31505326524234,-0.022636846215134777,2688.0
selection,ensemble_shape_0.60_level_light,0.5872304542122522,20644.0,20300.7454496856,9393.621000397312,-343.2545503143982,-0.016627327568029364,2688.0
selection,ensemble_shape_0.60_level_off,0.5871190614499192,20644.0,20110.828935088026,9377.280173499894,-533.1710649119747,-0.025826926221273718,2688.0
selection,ensemble_shape_0.60_level_medium,0.5869656946490249,20644.0,20411.938855856934,9410.46498430148,-232.06114414306867,-0.011241093980966317,2688.0
selection,ensemble_shape_0.60_level_strong,0.5869419981430944,20644.0,20480.350839221235,9418.431743092384,-163.64916077876674,-0.007927202130341347,2688.0
selection,item_prophet_shape_0.60_level_off,0.5793780327053497,20644.0,20106.41936344483,9532.381482440662,-537.5806365551715,-0.02604052686277715,2688.0
selection,cate2_mix,0.5790561955912796,20644.0,17216.385,9461.90165162539,-3427.615,-0.16603444099980622,2688.0
selection,item_prophet_shape_0.60_level_light,0.5778643457724391,20644.0,20326.095616551385,9586.639231804056,-317.9043834486116,-0.015399359787280159,2688.0
selection,item_prophet_shape_0.60_level_medium,0.5763462707712657,20644.0,20452.512545849673,9632.034912729148,-191.4874541503271,-0.00927569531826812,2688.0
selection,item_prophet_shape_0.60_level_strong,0.5754534080195345,20644.0,20535.0981490879,9660.069458669455,-108.9018509121021,-0.005275230135250054,2688.0
selection,cate2_prophet,0.5689954674936678,20644.0,17368.633653241155,9627.142842028092,-3275.3663467588453,-0.15865948201699503,2688.0
selection,bottomup_mix,0.5504566702189497,20644.0,17216.385000000002,10076.060000000001,-3427.615,-0.16603444099980622,2688.0
