origin,split,model,score,actual_sum,forecast_sum,abs_error_sum,signed_error_sum,bias_ratio,n_rows
2022-08-04,selection,item_prophet_shape_0.60_level_medium,0.5099567019400837,5200.0,4405.595880702391,2753.4893880245845,-794.404119297609,-0.15277002294184788,672.0
2022-08-04,selection,item_prophet_shape_0.60_level_off,0.5085648050495505,5200.0,4330.5714270430135,2753.842624712639,-869.4285729569864,-0.16719780249172816,672.0
2022-08-04,selection,item_prophet_shape_0.60_level_strong,0.510255734747733,5200.0,4423.154604088129,2753.5654700931395,-776.8453959118706,-0.1493933453676674,672.0
2022-08-11,selection,bottomup_mix,0.5583634215500946,5290.0,4490.055,2536.9350000000004,-799.945,-0.15121833648393196,672.0
2022-08-11,selection,cate2_mix,0.5694484782412393,5290.0,4490.055,2467.9821719641004,-799.9449999999999,-0.15121833648393193,672.0
2022-08-11,selection,cate2_prophet,0.32487852872761785,5290.0,2548.80497139588,3722.474566043141,-2741.1950286041206,-0.5181843154261098,672.0
2022-08-11,selection,ensemble,0.6243964470203687,5290.0,4559.117286815181,2183.9710320864383,-730.8827131848191,-0.13816308377784858,672.0
2022-08-11,selection,ensemble_bias_global,0.6255674319873538,5290.0,5143.60403145063,2203.035883346674,-146.39596854936934,-0.027674096134096285,672.0
2022-08-11,selection,ensemble_bias_horizon,0.629089974241794,5290.0,5140.688403708319,2184.7891150886244,-149.3115962916807,-0.028225254497482175,672.0
2022-08-11,selection,ensemble_bias_item,0.6517156857740699,5290.0,5045.7593660367165,2050.3916089438853,-244.2406339632827,-0.04617025216697215,672.0
2022-08-11,selection,ensemble_residual_beta_0.3,0.6253743282930413,5290.0,4644.86657469397,2183.834364003881,-645.1334253060311,-0.12195338852665993,672.0
2022-08-11,selection,ensemble_residual_beta_0.5,0.6242602233055311,5290.0,4702.032766613161,2193.0855286210644,-587.9672333868392,-0.11114692502586752,672.0
2022-08-11,selection,ensemble_residual_beta_0.7,0.6218624121985524,5290.0,4759.198958532353,2209.127498610236,-530.8010414676475,-0.10034046152507513,672.0
2022-08-11,selection,ensemble_residual_beta_0.9,0.6187168120849863,5290.0,4813.395472902033,2228.9140063510513,-476.6045270979665,-0.09009537374252675,672.0
2022-08-11,selection,ensemble_shape_0.30_level_light,0.6201481404212278,5290.0,4946.186741652309,2226.7859880915125,-343.8132583476913,-0.06499305450807019,672.0
2022-08-11,selection,ensemble_shape_0.30_level_medium,0.6185487255368548,5290.0,4978.558886600895,2237.9667629041787,-311.4411133991052,-0.058873556408148425,672.0
2022-08-11,selection,ensemble_shape_0.30_level_off,0.6224993271678853,5290.0,4890.536270032134,2209.81945406987,-399.463729967866,-0.07551299243248885,672.0
2022-08-11,selection,ensemble_shape_0.30_level_strong,0.6178220262639306,5290.0,5000.880877588653,2243.628677303268,-289.11912241134746,-0.054653898376436194,672.0
2022-08-11,selection,ensemble_shape_0.45_level_light,0.6121145610471035,5290.0,5108.723438674795,2277.1586719742436,-181.27656132520514,-0.034267780968847854,672.0
2022-08-11,selection,ensemble_shape_0.45_level_medium,0.6110965447141312,5290.0,5138.813796728618,2285.045598397446,-151.1862032713818,-0.02857962254657501,672.0
2022-08-11,selection,ensemble_shape_0.45_level_off,0.6134548870857037,5290.0,5057.212006760789,2265.8815895192147,-232.78799323921098,-0.044005291727639124,672.0
2022-08-11,selection,ensemble_shape_0.45_level_strong,0.6104593844768321,5290.0,5159.319932625806,2290.0830140296666,-130.68006737419378,-0.024703226346728502,672.0
2022-08-11,selection,ensemble_shape_0.60_level_light,0.6001943079539067,5290.0,5259.901066483984,2346.981446418014,-30.09893351601596,-0.005689779492630617,672.0
2022-08-11,selection,ensemble_shape_0.60_level_medium,0.5996383859252514,5290.0,5288.092597576408,2352.270582096013,-1.907402423592174,-0.0003605675658964412,672.0
2022-08-11,selection,ensemble_shape_0.60_level_off,0.6003671090789474,5290.0,5211.358325637021,2342.044242327085,-78.64167436297902,-0.014866101013795655,672.0
2022-08-11,selection,ensemble_shape_0.60_level_strong,0.5994734319412398,5290.0,5305.348570634374,2354.550570753764,15.348570634373672,0.002901431121809768,672.0
2022-08-11,selection,hybrid_short_residual_beta_0.5,0.6289086152993657,5290.0,4908.928876836415,2179.070135757028,-381.07112316358507,-0.07203612914245465,672.0
2022-08-11,selection,hybrid_short_residual_beta_0.7,0.6278077713533822,5290.0,4931.894957403994,2186.1888233950353,-358.1050425960045,-0.06769471504650369,672.0
2022-08-11,selection,hybrid_short_residual_beta_0.9,0.6262371497445124,5290.0,4954.861037971576,2195.792634869712,-335.138962028424,-0.06335330095055274,672.0
2022-08-11,selection,item_prophet,0.6428543410283851,5290.0,4866.036842393703,2094.7964133182904,-423.96315760629625,-0.08014426419778757,672.0
2022-08-11,selection,item_prophet_shape_0.30_level_light,0.6305679901156286,5290.0,5115.619001310061,2178.4081719153855,-174.38099868993908,-0.03296427196407166,672.0
2022-08-11,selection,item_prophet_shape_0.30_level_medium,0.6285592317725738,5290.0,5157.980312585583,2192.4963912965095,-132.01968741441684,-0.024956462649228135,672.0
2022-08-11,selection,item_prophet_shape_0.30_level_off,0.6340786078525462,5290.0,5042.861636337046,2153.9366970490273,-247.1383636629543,-0.04671802715745828,672.0
2022-08-11,selection,item_prophet_shape_0.30_level_strong,0.6276859345151768,5290.0,5187.176160467026,2199.3681022043784,-102.82383953297386,-0.019437398777499785,672.0
2022-08-11,selection,item_prophet_shape_0.45_level_light,0.6203566834747456,5290.0,5237.637364152202,2239.284891959973,-52.36263584779849,-0.00989841887482013,672.0
2022-08-11,selection,item_prophet_shape_0.45_level_medium,0.6185600280978716,5290.0,5278.416442455142,2252.0810371615735,-11.583557544858394,-0.0021897084205781464,672.0
2022-08-11,selection,item_prophet_shape_0.45_level_off,0.6226768398600485,5290.0,5167.717328117257,2221.3600850057364,-122.28267188274259,-0.023115816991066653,672.0
2022-08-11,selection,item_prophet_shape_0.45_level_strong,0.6176492882710971,5290.0,5306.203983926806,2259.026490852113,16.203983926806274,0.0030631349578083694,672.0
2022-08-11,selection,item_prophet_shape_0.60_level_light,0.6080839904765649,5290.0,5355.2269868800895,2310.22509026286,65.22698688008967,0.012330243266557593,672.0
2022-08-11,selection,item_prophet_shape_0.60_level_medium,0.6066218753808854,5290.0,5395.003778918542,2321.1805004070366,105.00377891854205,0.019849485617871844,672.0
2022-08-11,selection,item_prophet_shape_0.60_level_off,0.609300672036746,5290.0,5287.543805921792,2298.246819591235,-2.456194078207801,-0.0004643088994721741,672.0
2022-08-11,selection,item_prophet_shape_0.60_level_strong,0.6057728686890637,5290.0,5422.267172962122,2327.7312333853506,132.26717296212138,0.025003246306639203,672.0
2022-08-18,selection,bottomup_mix,0.564375589066918,5305.0,4873.682500000001,2563.6825,-431.3175,-0.08130395852968897,672.0
2022-08-18,selection,cate2_mix,0.6035275792234504,5305.0,4873.6825,2352.762729657012,-431.3175000000001,-0.081303958529689,672.0
2022-08-18,selection,cate2_prophet,0.6569666108930657,5305.0,4994.358277458765,2021.7431684112705,-310.64172254123514,-0.05855640387205186,672.0
2022-08-18,selection,ensemble,0.6433742377879327,5305.0,4878.299407697692,2085.2794842154144,-426.7005923023082,-0.08043366490147186,672.0
2022-08-18,selection,ensemble_bias_global,0.6346591820457083,5305.0,5503.705853899051,2156.3044827441404,198.70585389905116,0.037456334382479015,672.0
2022-08-18,selection,ensemble_bias_horizon,0.6324873999931263,5305.0,5504.698498955637,2165.864715614559,199.69849895563686,0.03764344937900789,672.0
2022-08-18,selection,ensemble_bias_item,0.6308440762859167,5305.0,5504.897633526949,2164.1863300278474,199.897633526949,0.03768098652722884,672.0
2022-08-18,selection,ensemble_residual_beta_0.3,0.6431660408311483,5305.0,4932.5528160671,2089.336273716688,-372.44718393289975,-0.07020682072250702,672.0
2022-08-18,selection,ensemble_residual_beta_0.5,0.6422509371202827,5305.0,4968.721754980039,2096.159101999852,-336.278245019961,-0.06338892460319717,672.0
2022-08-18,selection,ensemble_residual_beta_0.7,0.64071033282473,5305.0,5004.890693892979,2106.3002108847804,-300.109306107022,-0.05657102848388728,672.0
2022-08-18,selection,ensemble_residual_beta_0.9,0.6388044952512189,5305.0,5040.769433170153,2118.359643141001,-264.2305668298466,-0.04980783540619164,672.0
2022-08-18,selection,ensemble_shape_0.30_level_light,0.633317767282094,5305.0,5126.563143277249,2159.2726817286225,-178.43685672275097,-0.03363559975923675,672.0
2022-08-18,selection,ensemble_shape_0.30_level_medium,0.6306908355074513,5305.0,5170.527599094344,2179.729115600401,-134.47240090565674,-0.025348237682498914,672.0
