model,horizon,score,actual_sum,forecast_sum,abs_error_sum,signed_error_sum,bias_ratio,n_rows
bottomup_mix,21,0.5820180995475114,1105.0,778.49,491.95000000000005,-326.51000000000005,-0.29548416289592766,144.0
bottomup_mix,22,0.583222891566265,1162.0,935.655,518.94,-226.34499999999997,-0.194789156626506,144.0
bottomup_mix,23,0.4366846758349705,1018.0,879.6824999999999,608.5225,-138.3175,-0.13587180746561886,144.0
bottomup_mix,24,0.5571559233449478,1148.0,758.9875,548.9525,-389.0125,-0.33886106271777,144.0
bottomup_mix,25,0.4945528455284553,1107.0,802.1625,608.8375,-304.8375,-0.27537262872628726,144.0
bottomup_mix,26,0.47465266222961733,1202.0,942.9925,674.7975,-259.0075,-0.2154804492512479,144.0
bottomup_mix,27,0.49675908221797327,1046.0,916.3325,549.3874999999999,-129.6675,-0.12396510516252389,144.0
bottomup_mix,28,0.5420294882914137,1153.0,795.175,550.6949999999999,-357.82500000000005,-0.3103425845620122,144.0
cate2_mix,1,0.682457812537948,1003.0,939.5999999999999,387.0017162551922,-63.40000000000002,-0.06321036889332006,144.0
cate2_mix,2,0.5820805974607304,982.0,886.4999999999999,450.95763958003874,-95.5,-0.09725050916496945,144.0
cate2_mix,3,0.5439062145076691,869.0,759.5,433.2584746452526,-109.5,-0.12600690448791715,144.0
cate2_mix,4,0.5815497750048999,962.0,795.3,448.7342542227575,-166.7,-0.17328482328482328,144.0
cate2_mix,5,0.556017503826838,1024.0,937.1000000000001,507.6209859361729,-86.89999999999996,-0.08486328124999996,144.0
cate2_mix,6,0.6015082087781389,1010.0,904.7,436.8083853837427,-105.30000000000003,-0.10425742574257428,144.0
cate2_mix,7,0.6349770243154614,963.0,783.8,394.3768335891955,-179.20000000000002,-0.1860851505711319,144.0
cate2_mix,8,0.7000067193255415,1050.0,923.3,379.09931845009606,-126.7,-0.12066666666666667,144.0
cate2_mix,9,0.5696340774265709,1063.0,875.6500000000001,492.0981587066624,-187.35000000000002,-0.17624647224835374,144.0
cate2_mix,10,0.585195388330601,967.0,753.75,443.5545611010788,-213.25,-0.22052740434332987,144.0
cate2_mix,11,0.5715443126249388,1059.0,794.85,488.0359285208126,-264.15,-0.24943342776203964,144.0
cate2_mix,12,0.5899247891184849,1100.0,928.05,501.92252380106515,-171.95,-0.1563181818181818,144.0
cate2_mix,13,0.5777112622858114,998.0,908.0500000000001,453.82325934869044,-89.94999999999999,-0.09013026052104207,144.0
cate2_mix,14,0.610531409943094,1054.0,785.1,437.9839723288878,-268.9,-0.255123339658444,144.0
cate2_mix,15,0.6594712415634612,1124.0,924.93,437.82744021915966,-199.07000000000005,-0.17710854092526696,144.0
cate2_mix,16,0.5174691999666788,1012.0,869.1750000000001,524.2666374379942,-142.82500000000005,-0.14113142292490122,144.0
cate2_mix,17,0.5527555911162206,1088.0,759.325,521.3466985102252,-328.67500000000007,-0.3020909926470589,144.0
cate2_mix,18,0.5580078240739583,1078.0,792.215,510.31292607408693,-285.785,-0.2651066790352505,144.0
cate2_mix,19,0.5688636537921197,1101.0,931.1550000000001,534.32952812903,-169.84499999999997,-0.15426430517711168,144.0
cate2_mix,20,0.5619417374256885,1026.0,906.635,473.3753945455962,-119.36500000000001,-0.11634015594541912,144.0
cate2_mix,21,0.5858843855964343,1105.0,778.49,484.0820246390377,-326.51,-0.2954841628959276,144.0
cate2_mix,22,0.6272883337221566,1162.0,935.655,480.1795015710717,-226.34500000000003,-0.19478915662650606,144.0
cate2_mix,23,0.46185911698144017,1018.0,879.6825,579.6020268817217,-138.3175,-0.13587180746561886,144.0
cate2_mix,24,0.592805893610349,1148.0,758.9875,506.9789337677649,-389.01250000000005,-0.33886106271777006,144.0
cate2_mix,25,0.5426350020844299,1107.0,802.1625,544.0635551263483,-304.8375,-0.27537262872628726,144.0
cate2_mix,26,0.5060370937346379,1202.0,942.9925,636.4413633370264,-259.0075,-0.2154804492512479,144.0
cate2_mix,27,0.5264715796470264,1046.0,916.3325,517.8264357670771,-129.66749999999996,-0.12396510516252386,144.0
cate2_mix,28,0.550191820591285,1153.0,795.175,539.2849526235976,-357.82500000000005,-0.3103425845620122,144.0
cate2_prophet,1,0.6538349722177655,1003.0,886.1355944581707,412.0053048325975,-116.86440554182934,-0.11651486095895248,144.0
cate2_prophet,2,0.5821454054101938,982.0,877.4152169931822,453.48280272753647,-104.58478300681774,-0.10650181568922377,144.0
cate2_prophet,3,0.48358155643358436,869.0,862.1434865691972,482.7661263422417,-6.856513430802735,-0.007890119022787958,144.0
cate2_prophet,4,0.5468469334676946,962.0,874.419270097736,479.72182313620897,-87.58072990226397,-0.09104025977366317,144.0
cate2_prophet,5,0.5621792664982561,1024.0,867.5600056397573,496.47760715130306,-156.43999436024268,-0.1527734319924245,144.0
cate2_prophet,6,0.6056070410334816,1010.0,928.5115971324606,438.7375267602894,-81.48840286753946,-0.08068158699756382,144.0
cate2_prophet,7,0.5892296946119182,963.0,1010.2921766294842,452.0206269179412,47.292176629484146,0.04910921768378416,144.0
cate2_prophet,8,0.6720520850115511,1050.0,923.9284190875478,399.13208649937087,-126.07158091245219,-0.12006817229757352,144.0
cate2_prophet,9,0.5616975730918934,1063.0,914.2624529305158,501.74489460921575,-148.73754706948418,-0.13992243374363517,144.0
cate2_prophet,10,0.5325644721363302,967.0,898.1586746153088,493.06609420195423,-68.8413253846912,-0.07119061570288646,144.0
cate2_prophet,11,0.529688925679189,1059.0,909.769016009925,528.0752041363005,-149.230983990075,-0.14091688762046742,144.0
