key,actual_sum,forecast_sum,abs_error_sum,signed_error_sum,contribution_share,attribution_level
2022-08-22 00:00:00,900.0,628.7261262912496,452.3819166432162,-271.27387370875044,0.035832231990271024,day
2022-08-23 00:00:00,716.0,646.3127410506266,298.1897645236676,-69.6872589493734,0.02361899188813778,day
2022-08-24 00:00:00,724.0,665.631155297782,399.880145266643,-58.36884470221795,0.03167367572916997,day
2022-08-25 00:00:00,756.0,676.6648853059091,259.1901925900104,-79.33511469409088,0.020529916799952506,day
2022-08-26 00:00:00,800.0,657.628840786961,246.99387494717703,-142.37115921303902,0.01956387181201876,day
2022-08-27 00:00:00,760.0,640.2569918667865,385.2284617546632,-119.74300813321345,0.030513146310697778,day
2022-08-28 00:00:00,732.0,604.6833130379049,271.0801750969256,-127.31668696209508,0.02147169761804843,day
2022-08-29 00:00:00,816.0,626.5682757037176,399.03746274667105,-189.43172429628237,0.031606928597070094,day
2022-08-30 00:00:00,820.0,627.3515186582563,279.22283180141886,-192.64848134174377,0.022116660542777028,day
2022-08-31 00:00:00,584.0,651.0954162394119,233.61322577346095,67.09541623941189,0.018504018383458394,day
2022-09-01 00:00:00,828.0,690.5320301431948,306.1738037981073,-137.4679698568052,0.024251391055690692,day
2022-09-02 00:00:00,609.0,510.61134469877294,235.12441743052815,-98.38865530122708,0.018623716735770075,day
2022-09-03 00:00:00,432.0,503.84899611083034,207.21234568563975,71.84899611083037,0.016412859508068978,day
2022-09-04 00:00:00,714.0,489.4834358389398,283.9942585275624,-224.51656416106024,0.022494595343187266,day
2022-09-05 00:00:00,570.0,493.15386658441895,229.67112706441338,-76.84613341558106,0.018191772932713412,day
2022-09-06 00:00:00,459.0,525.3602678699929,227.01320368854354,66.3602678699929,0.017981244342792684,day
2022-09-07 00:00:00,651.0,519.2102356734439,307.5331706901442,-131.78976432655605,0.02435906368371436,day
2022-09-08 00:00:00,615.0,546.3458767989772,216.2508846607935,-68.65412320102276,0.01712878340665011,day
2022-09-09 00:00:00,394.0,364.34949750109183,139.5226179523218,-29.65050249890814,0.011051296770335919,day
2022-09-10 00:00:00,294.0,358.55067369671093,135.94124373549062,64.55067369671092,0.010767623557370863,day
2022-09-11 00:00:00,350.0,349.6627592110401,123.66334666330464,-0.33724078895988896,0.009795116832283946,day
2022-09-12 00:00:00,334.0,361.38803283634286,111.92154928849851,27.388032836342855,0.008865073450712102,day
2022-09-13 00:00:00,426.0,368.7791709376361,162.3949148314635,-57.22082906236395,0.012862963898865572,day
2022-09-14 00:00:00,334.0,371.813208125704,158.50334229785747,37.81320812570403,0.01255472052153112,day
2022-09-15 00:00:00,440.0,396.09131205663044,196.23528058310026,-43.908687943369564,0.015543388981384075,day
2022-09-16 00:00:00,217.0,191.1476194992691,81.88421046355083,-25.852380500730902,0.00648587823191922,day
2022-09-17 00:00:00,163.0,186.272689696519,71.0363512356947,23.272689696519006,0.005626641834198874,day
2022-09-18 00:00:00,220.0,189.26907985789654,70.04952795207231,-30.730920142103464,0.005548477611600104,day
2022-09-19 00:00:00,215.0,193.65584087756542,81.50071226635018,-21.344159122434572,0.006455502136269973,day
2022-09-20 00:00:00,193.0,188.5012235303919,76.07365507935663,-4.498776469608084,0.006025636208843457,day
2022-09-21 00:00:00,177.0,190.96878208356455,94.2563195126479,13.968782083564545,0.007465847292012786,day
2022-09-22 00:00:00,271.0,202.32211375486045,122.72934632811253,-68.67788624513953,0.009721136605713596,day
Option_0,1700.0,1280.1154247687186,705.9788120611466,-419.88457523128136,0.05591911533886972,option
Option_1,5041.0,5230.102722910189,1359.809510999533,189.10272291018885,0.10770768695235142,option
Option_10,460.0,468.4054879276018,425.31126760291306,8.405487927601829,0.03368802210730975,option
Option_11,79.0,75.00696004292607,109.31236202641009,-3.9930399570739286,0.008658405147135883,option
Option_12,1666.0,1255.5343984702718,801.3539216994765,-410.46560152972825,0.06347357967293699,option
Option_13,390.0,504.0437641849705,349.743616688303,114.0437641849705,0.027702465437351886,option
Option_14,1713.0,1293.9683076201254,763.8841314822849,-419.03169237987464,0.06050567541705557,option
Option_15,1203.0,936.0183332095139,528.6536896454443,-266.98166679048603,0.04187356070828115,option
Option_16,572.0,460.82381530844106,286.75405397683244,-111.17618469155892,0.022713193008447017,option
Option_17,2516.0,2128.09906127551,697.2265872767093,-387.90093872449006,0.0552258697926418,option
Option_18,345.0,219.30329991272987,267.38423660373036,-125.69670008727013,0.021178950006710127,option
Option_19,301.0,178.30271848198092,309.9440840895649,-122.6972815180191,0.02455002712645654,option
Option_2,521.0,431.17951692931547,310.6145907336075,-89.82048307068452,0.024603136565044693,option
Option_20,5193.0,5323.827682858642,1432.897030816056,130.82768285864205,0.11349679758942546,option
Option_21,51.0,75.28985851491771,100.71321732430788,24.28985851491771,0.007977284756272317,option
Option_22,578.0,461.26116950755556,361.13987661579563,-116.73883049244441,0.028605139515426065,option
Option_23,381.0,424.56083305068046,379.7123797499705,43.560833050680436,0.030076228912371723,option
Option_3,2539.0,2163.051212865171,749.675263116091,-375.9487871348294,0.059380220466524844,option
Option_4,434.0,292.09024941290147,323.8928958617512,-141.9097505870985,0.025654883534330594,option
Option_5,2754.0,2697.222098246636,985.1938641406448,-56.777901753364105,0.0780351596660324,option
Option_6,1168.0,821.3985683205655,552.3732159380606,-346.60143167943454,0.043752335118900844,option
Option_7,623.0,484.1946472754301,377.34763054966265,-138.8053527245699,0.029888922039955187,option
Option_8,282.0,196.88369521840275,267.7051546686115,-85.11630478159725,0.021204369260061404,option
Option_9,183.0,138.60482600166281,178.3782649098858,-44.39517399833718,0.014128971860106506,option
Item_0,5079.0,3829.618130859116,2271.216865242908,-1249.3818691408842,0.17989837042886228,item
Item_1,10234.0,10553.930405768831,2792.706541815589,319.93040576883095,0.22120448454177688,item
Item_10,1231.0,1397.0100851632528,1154.7672640411865,166.01008516325277,0.09146671645703335,item
Item_11,130.0,150.29681855784378,210.02557935071795,20.29681855784378,0.016635689903408198,item
Item_2,1671.0,1353.2645017453121,958.5085213262356,-317.73549825468785,0.07592146908891778,item
Item_3,5055.0,4291.15027414068,1446.9018503928003,-763.8497258593195,0.11460609025916665,item
Item_4,779.0,511.39354932563134,591.2771324654816,-267.60645067436866,0.046833833541040724,item
